user_id,followers_count,following_count,status_count,created_at
865396466189123585,2893,3126,12392,Fri May 19 02:39:30 +0000 2017
620484097,4019,3732,41575,Thu Jun 28 00:37:00 +0000 2012
228325602,886,1382,20451,Sun Dec 19 11:34:36 +0000 2010
25308093,1808,2211,41413,Thu Mar 19 14:45:00 +0000 2009
897565399771992064,27212,2286,27459,Tue Aug 15 21:07:22 +0000 2017
1020686150879666176,40,402,3026,Sat Jul 21 15:05:16 +0000 2018
39494027,25,244,7277,Tue May 12 13:05:23 +0000 2009
3882773547,835,497,1386,Tue Oct 06 18:24:25 +0000 2015
13115682,394892,614,253460,Tue Feb 05 22:04:38 +0000 2008
568506489,47,105,37,Tue May 01 18:23:05 +0000 2012
826811209563381760,103,259,2917,Wed Feb 01 15:15:28 +0000 2017
296435912,66,672,1139,Tue May 10 19:14:27 +0000 2011
230064852,113,70,53936,Fri Dec 24 04:46:20 +0000 2010
1396098822,588,383,41838,Thu May 02 02:55:35 +0000 2013
1486219506,460,396,3033,Wed Jun 05 23:01:16 +0000 2013
107283519,60,140,8865,Fri Jan 22 02:30:26 +0000 2010
5377542,420,62,521687,Sat Apr 21 11:17:16 +0000 2007
469785324,1515,2258,30492,Sat Jan 21 00:13:31 +0000 2012
114279518,920,1543,59245,Sun Feb 14 20:46:39 +0000 2010
999929359153750016,40,77,5113,Fri May 25 08:25:11 +0000 2018
930178296,14480,384,237327,Tue Nov 06 17:39:31 +0000 2012
292596610,146,312,43983,Tue May 03 22:30:48 +0000 2011
19780938,34499,71,114462,Fri Jan 30 18:41:06 +0000 2009
2209932804,72,146,1057,Sat Nov 23 03:46:55 +0000 2013
213501060,52710,1539,23054,Tue Nov 09 02:24:44 +0000 2010
11856032,589200,260,69720,Fri Jan 04 22:09:18 +0000 2008
45049172,411,261,6609,Sat Jun 06 01:14:50 +0000 2009
1536716030,598,1145,65964,Fri Jun 21 15:10:21 +0000 2013
2364705097,652,2688,93716,Thu Feb 27 22:13:45 +0000 2014
606703243,1397,950,20906,Tue Jun 12 22:44:41 +0000 2012
14646765,293,201,167430,Sun May 04 10:32:04 +0000 2008
3264788279,710,4789,37544,Sun May 17 05:45:42 +0000 2015
3266644014,76,43,3350,Fri Jul 03 03:19:20 +0000 2015
627845910,7772,960,245469,Thu Jul 05 21:47:03 +0000 2012
3038077454,55,424,4102,Mon Feb 23 13:43:14 +0000 2015
18956073,265639,246,491571,Tue Jan 13 22:16:00 +0000 2009
298737646,1751,2317,5762,Sat May 14 21:02:43 +0000 2011
20986666,3387,2597,21159,Mon Feb 16 13:58:32 +0000 2009
40774939,4608,986,29331,Mon May 18 00:50:37 +0000 2009
238207778,511,3529,46524,Fri Jan 14 16:30:26 +0000 2011
227173423,3085,703,3921,Thu Dec 16 03:35:11 +0000 2010
10076902,2327,3120,21210,Thu Nov 08 19:58:25 +0000 2007
313533002,10,6,30,Wed Jun 08 20:10:56 +0000 2011
2796268820,603,399,124716,Sun Sep 07 16:56:27 +0000 2014
50029844,512,280,5819,Tue Jun 23 16:54:36 +0000 2009
823245047260909570,8,118,993,Sun Jan 22 19:04:49 +0000 2017
168508680,28396,1044,77134,Mon Jul 19 14:51:05 +0000 2010
19079225,3962,1344,13933,Fri Jan 16 18:38:54 +0000 2009
228495901,495,110,38755,Sun Dec 19 22:08:30 +0000 2010
811335668433489920,2539,2692,48421,Tue Dec 20 22:21:12 +0000 2016
23570552,768,1718,31549,Tue Mar 10 08:25:53 +0000 2009
22514042,2411,4653,52458,Mon Mar 02 18:16:27 +0000 2009
384335594,11376,3324,11908,Mon Oct 03 14:12:59 +0000 2011
132284034,355,205,14630,Mon Apr 12 20:27:46 +0000 2010
23954327,25997,13140,293577,Thu Mar 12 14:16:30 +0000 2009
4183188317,25,120,3031,Sat Nov 14 02:47:13 +0000 2015
984949383748714496,1686,2069,22231,Sat Apr 14 00:20:07 +0000 2018
1014614947907756033,596,32,37602,Wed Jul 04 21:00:29 +0000 2018
871514965387100164,769,1443,3715,Sun Jun 04 23:52:14 +0000 2017
4190648303,3915,4501,114938,Sun Nov 15 02:05:56 +0000 2015
25401542,520,1213,65547,Thu Mar 19 22:52:50 +0000 2009
101304929,2493,659,170286,Sat Jan 02 20:21:44 +0000 2010
15413409,2313,85,349694,Sun Jul 13 09:07:11 +0000 2008
25239465,885,726,23267,Thu Mar 19 04:42:38 +0000 2009
20384296,250,484,18785,Sun Feb 08 18:55:06 +0000 2009
47111744,31,0,193778,Sun Jun 14 15:35:52 +0000 2009
44119914,821,1102,22754,Tue Jun 02 13:44:45 +0000 2009
304988603,15587,7631,102255,Wed May 25 13:09:32 +0000 2011
41912656,1180,1741,34706,Fri May 22 22:08:44 +0000 2009
947498235186294786,54,146,229,Sun Dec 31 16:02:37 +0000 2017
222586842,1132,1044,122254,Fri Dec 03 21:13:00 +0000 2010
116635785,77,226,10993,Tue Feb 23 04:16:12 +0000 2010
19293193,3729,209,33204,Wed Jan 21 16:07:11 +0000 2009
267422255,939,194,72493,Wed Mar 16 22:52:01 +0000 2011
241983890,11241,15,593038,Sun Jan 23 17:07:48 +0000 2011
15012486,7723265,529,267872,Thu Jun 05 00:54:31 +0000 2008
24679530,6237,808,9223,Mon Mar 16 11:48:43 +0000 2009
139790901,906,1028,1899,Mon May 03 17:58:56 +0000 2010
272131127,170,423,2145,Fri Mar 25 22:13:52 +0000 2011
22716731,1211,2004,28714,Wed Mar 04 01:55:11 +0000 2009
929871223869370369,58,120,331,Mon Nov 13 00:39:10 +0000 2017
64719752,1607,129,42534,Tue Aug 11 13:57:45 +0000 2009
