user_id,followers_count,following_count,status_count,created_at,favorites_count,verified
173089422,137,64,31508,Sat Jul 31 11:48:29 +0000 2010,0,False
405343654,5181,890,14635,Sat Nov 05 05:38:33 +0000 2011,68429,False
1481116639,269,1729,1573,Tue Jun 04 01:55:19 +0000 2013,2334,False
849711881484947458,72,474,18235,Wed Apr 05 19:54:34 +0000 2017,7645,False
144222146,14550,1256,31114,Sat May 15 17:05:50 +0000 2010,1973,False
1638626197,397,1965,29018,Thu Aug 01 18:44:07 +0000 2013,2776,False
149554492,7406,3323,10884,Sat May 29 15:53:07 +0000 2010,13242,True
3536786475,2347,548,2866,Thu Sep 03 18:59:23 +0000 2015,1362,False
2787304843,3621,4083,122332,Wed Sep 03 04:33:24 +0000 2014,27620,False
2224474418,115,214,5214,Sun Dec 01 08:18:56 +0000 2013,2,False
101696417,1295,599,3092,Mon Jan 04 07:56:15 +0000 2010,2053,False
320252434,10142,9790,220385,Sun Jun 19 15:48:15 +0000 2011,177755,False
22870112,25899,1511,176796,Thu Mar 05 03:01:14 +0000 2009,541,True
355603439,3873,1046,152501,Mon Aug 15 16:23:15 +0000 2011,3,False
14456422,5803,6383,78676,Mon Apr 21 00:08:13 +0000 2008,101807,False
937059116,13777,15158,99741,Fri Nov 09 14:43:49 +0000 2012,104901,False
235589360,1202,67,9684,Sat Jan 08 15:52:07 +0000 2011,3,False
17052728,1390,2079,70321,Wed Oct 29 21:36:44 +0000 2008,42100,False
988249919323439105,37,8,37842,Mon Apr 23 02:55:16 +0000 2018,18,False
1922060155,5827,6067,50474,Tue Oct 01 02:50:01 +0000 2013,66907,False
2330994686,1283,1283,34983,Thu Feb 06 23:32:48 +0000 2014,22993,False
2839317589,267,156,31308,Fri Oct 03 18:07:43 +0000 2014,4269,False
727748143,56,20,33613,Tue Jul 31 06:39:50 +0000 2012,0,False
110984704,10750,180,154746,Wed Feb 03 12:42:52 +0000 2010,245,False
31345334,224,1740,13367,Wed Apr 15 05:01:53 +0000 2009,4173,False
1631904324,1541,4938,28114,Tue Jul 30 03:45:59 +0000 2013,3088,False
920439227736657921,0,0,25,Tue Oct 17 23:59:47 +0000 2017,0,False
3018062203,18,109,3976,Fri Feb 13 04:28:25 +0000 2015,8,False
1219676953,13616,1935,17359,Mon Feb 25 19:55:00 +0000 2013,1976,True
471700945,78089,85541,175665,Mon Jan 23 05:05:04 +0000 2012,27129,False
278010393,182,1379,30340,Wed Apr 06 12:35:57 +0000 2011,6079,False
40182559,1089,3090,10957,Fri May 15 05:20:13 +0000 2009,549,False
904982108547964929,363,957,1361,Tue Sep 05 08:18:43 +0000 2017,1001,False
1363585974,87,401,16343,Fri Apr 19 04:57:25 +0000 2013,25943,False
149984992,8701,8025,319229,Sun May 30 19:13:18 +0000 2010,12655,False
496102150,65,50,78359,Sat Feb 18 16:26:39 +0000 2012,62,False
137623582,164,216,31173,Tue Apr 27 08:04:08 +0000 2010,69688,False
845397028397989888,313,595,108415,Fri Mar 24 22:08:53 +0000 2017,109612,False
259441842,192,348,40742,Tue Mar 01 22:49:07 +0000 2011,145,False
17089636,284044,729,21904,Fri Oct 31 18:27:47 +0000 2008,799,True
790095800269438976,1503,1151,6204,Sun Oct 23 07:41:32 +0000 2016,5310,False
29899648,14617,15981,53324,Thu Apr 09 02:40:37 +0000 2009,2084,False
499275959,59643,28,8700,Tue Feb 21 23:35:54 +0000 2012,29,True
2933409272,70,583,7079,Wed Dec 17 11:41:45 +0000 2014,27,False
2421423498,5026,1181,698932,Tue Apr 01 03:02:23 +0000 2014,791,False
3285457992,49,123,2273,Mon Jul 20 15:03:38 +0000 2015,1899,False
23276663,253,366,880,Sun Mar 08 04:37:06 +0000 2009,252,False
94172234,161,725,5877,Wed Dec 02 20:46:55 +0000 2009,2389,False
347915546,3162,2770,106506,Wed Aug 03 15:37:37 +0000 2011,17378,False
710856880680275969,2717,1784,28784,Fri Mar 18 15:54:22 +0000 2016,3462,False
2958157228,2103,4040,59032,Sat Jan 03 08:40:54 +0000 2015,33805,False
221417011,291,281,1231,Tue Nov 30 16:23:17 +0000 2010,0,False
45262242,3562,4042,32438,Sun Jun 07 02:03:39 +0000 2009,0,False
158169283,667,2294,85375,Mon Jun 21 23:57:12 +0000 2010,3274,False
1073802444,34829,2699,37081,Wed Jan 09 13:41:23 +0000 2013,4720,True
123078358,1054,2557,102901,Sun Mar 14 22:49:07 +0000 2010,10175,False
897808416,3830,210,469201,Mon Oct 22 15:27:09 +0000 2012,47845,False
527816957,210,285,3210,Sat Mar 17 20:35:46 +0000 2012,627,False
2967464573,284,367,18505,Thu Jan 08 08:47:55 +0000 2015,68,False
136467275,598,569,27394,Sat Apr 24 01:27:07 +0000 2010,124,False
24561893,2510,2629,34995,Sun Mar 15 18:24:54 +0000 2009,16665,False
96395029,9021,211,66855,Sat Dec 12 18:42:53 +0000 2009,7265,False
3121680833,184,352,6261,Fri Mar 27 16:30:09 +0000 2015,16604,False
1973841577,53,105,4278,Sun Oct 20 04:32:45 +0000 2013,5399,False
746100284963717121,476,527,13292,Thu Jun 23 21:59:04 +0000 2016,4012,False
1274124385,14,72,36617,Sun Mar 17 05:28:29 +0000 2013,10,False
79553176,668,792,19306,Sat Oct 03 20:03:30 +0000 2009,107,False
1018793729723916290,0,10,26,Mon Jul 16 09:45:28 +0000 2018,28,False
780582056132681728,1037,4816,11519,Tue Sep 27 01:37:19 +0000 2016,3089,False
1272243877,185,418,9823,Sat Mar 16 12:44:33 +0000 2013,7914,False
18602100,110642,272,52068,Sun Jan 04 13:54:04 +0000 2009,23,True
946808659715248128,30,216,2288,Fri Dec 29 18:22:30 +0000 2017,1483,False
761378473612943361,2015,4948,113128,Fri Aug 05 01:49:08 +0000 2016,67633,False
109266641,151,185,78747,Thu Jan 28 13:56:52 +0000 2010,1843,False
469084578,89,213,1899,Fri Jan 20 06:41:54 +0000 2012,68,False
627423111,2274,2257,236524,Thu Jul 05 12:26:33 +0000 2012,76092,False
19069046,649,3359,27074,Fri Jan 16 14:46:09 +0000 2009,28422,False
2576532410,171,0,28926,Thu Jun 19 09:13:15 +0000 2014,0,False
146438035,196,443,16139,Fri May 21 12:45:50 +0000 2010,332,False
827312885391040517,54,25,13047,Fri Feb 03 00:28:57 +0000 2017,113912,False
191315404,473,1066,6108,Thu Sep 16 03:58:46 +0000 2010,22523,False
97045154,3015,4993,83654,Tue Dec 15 19:32:32 +0000 2009,32122,False
2311840544,18,3,17386,Sun Jan 26 13:14:59 +0000 2014,0,False
811235191901470725,188,166,13311,Tue Dec 20 15:41:56 +0000 2016,14,False
852713176508448768,30,291,2221,Fri Apr 14 02:40:38 +0000 2017,902,False
3051687770,2086,2599,17778,Sun Mar 01 02:40:18 +0000 2015,16799,False
4334967151,298,51,8919,Mon Nov 23 14:45:59 +0000 2015,30,False
2587784292,107,605,1177,Wed Jun 25 16:19:21 +0000 2014,164,False
26134837,515,2560,20725,Tue Mar 24 00:39:09 +0000 2009,14670,False
849829617762533376,8100,8516,79317,Thu Apr 06 03:42:24 +0000 2017,98842,False
3122251638,3,45,5136,Wed Apr 01 00:52:32 +0000 2015,1,False
833749740,1279,1117,8045,Wed Sep 19 17:09:25 +0000 2012,2273,False
2408174816,602,364,13108,Mon Mar 24 02:19:29 +0000 2014,54785,False
3314427931,70,768,233,Thu Aug 13 13:47:34 +0000 2015,155,False
899635572708454400,86,512,8997,Mon Aug 21 14:13:29 +0000 2017,45,False
2273006474,91,655,5856,Thu Jan 02 13:22:30 +0000 2014,35177,False
2440591338,490,478,46691,Sat Apr 12 20:58:29 +0000 2014,65945,False
48517742,600,603,9304,Thu Jun 18 22:39:18 +0000 2009,826,False
1155287095,4805,4351,5697,Wed Feb 06 22:26:27 +0000 2013,2965,False
915025437071462400,26660,26214,18687,Tue Oct 03 01:27:19 +0000 2017,22123,False
1625110476,334,224,114756,Sat Jul 27 10:10:20 +0000 2013,307,False
2209081703,1511,2217,53810,Thu Dec 05 17:40:19 +0000 2013,27614,False
2716271568,171,313,38028,Fri Aug 08 05:53:03 +0000 2014,44193,False
1152372157,36,470,4566,Tue Feb 05 23:41:41 +0000 2013,361,False
454990336,209,524,9631,Wed Jan 04 16:24:42 +0000 2012,2874,False
513752364,1229,1651,32682,Sun Mar 04 00:10:21 +0000 2012,28,False
1110742416,2854,1577,64530,Tue Jan 22 06:18:23 +0000 2013,15064,False
21032566,27334,0,226701,Mon Feb 16 21:48:01 +0000 2009,1740,False
124779277,373,191,26874,Sat Mar 20 14:47:40 +0000 2010,5354,False
1861069734,230,427,812,Fri Sep 13 16:38:13 +0000 2013,393,False
18501205,577,2784,40647,Wed Dec 31 06:38:43 +0000 2008,486,False
3268671607,691,1547,4012,Sun Jul 05 02:37:23 +0000 2015,511,False
2327177718,159,2,293536,Tue Feb 04 14:09:17 +0000 2014,2,False
922308456,22,120,690,Sat Nov 03 03:05:21 +0000 2012,1,False
3912699087,15,20,5022,Fri Oct 09 22:20:08 +0000 2015,67,False
124096817,1223,1092,25062,Thu Mar 18 07:16:15 +0000 2010,2,False
849882049523589120,426,756,277,Thu Apr 06 07:10:45 +0000 2017,2115,False
990945138506543104,1,0,100,Mon Apr 30 13:25:06 +0000 2018,119,False
82099980,10955,11307,19469,Tue Oct 13 13:55:45 +0000 2009,10416,False
1638666301,371,4980,12143,Thu Aug 01 19:06:28 +0000 2013,10868,False
277453549,742,583,48838,Tue Apr 05 12:05:43 +0000 2011,10730,False
26063171,17959,955,193150,Mon Mar 23 18:52:59 +0000 2009,1407,False
834759151494504448,97,1143,4436,Thu Feb 23 13:37:45 +0000 2017,23954,False
18338324,1260,1331,413735,Tue Dec 23 18:03:50 +0000 2008,39721,False
16182211,1439,1295,86037,Mon Sep 08 09:25:46 +0000 2008,59567,False
262209168,161,685,1257,Mon Mar 07 15:59:11 +0000 2011,1797,False
2941737081,122,386,2359,Fri Dec 26 05:24:47 +0000 2014,145,False
16553230,1791,1994,775160,Thu Oct 02 01:13:36 +0000 2008,856,False
1463607829,3,0,1387,Tue May 28 01:53:36 +0000 2013,0,False
1020947516957839360,4,36,66,Sun Jul 22 08:23:51 +0000 2018,179,False
790019230389248000,102756,90695,878119,Sun Oct 23 02:37:17 +0000 2016,42814,False
1427665687,3968,170,270587,Tue May 14 11:56:08 +0000 2013,0,False
16491845,13619,9796,211654,Sat Sep 27 22:19:47 +0000 2008,22,False
293977510,453,521,45984,Fri May 06 09:38:56 +0000 2011,7100,False
62145334,11233,12161,118558,Sat Aug 01 23:39:34 +0000 2009,80275,False
126642019,543,1339,68832,Fri Mar 26 14:35:24 +0000 2010,4525,False
855944389,61,632,55534,Mon Oct 01 06:37:29 +0000 2012,1794,False
153538231,1952,2561,2218,Tue Jun 08 20:36:30 +0000 2010,72,False
3027281417,909,43,3797,Mon Feb 09 22:20:35 +0000 2015,240,False
