Node,Degree Centrality,Page Rank,Betweenness Centrality,Closeness Centrality
3370001,1,0.5055314052,0,0.1778268461
3379681,1,0.4964408467,0,0.1733016389
3479311,2,0.8275985662,31059.32063,0.1690835408
3568351,1,0.5138339068,0,0.1500400771
3568411,1,0.5030463868,0,0.162106495
3576391,1,0.5216771254,0,0.155211438
3656961,1,0.5112857449,0,0.1621254682
3761241,1,0.5188341625,0,0.157387629
3785611,1,0.5242486101,0,0.1446684073
3801141,1,0.5171776873,0,0.1522833711
3803101,1,0.5188341625,0,0.157387629
3810171,1,0.526522584,0,0.1135800849
3827851,1,0.5242486101,0,0.1446684073
3907191,1,0.5242486101,0,0.1446684073
3983591,1,0.5242486101,0,0.1446684073
4052041,1,0.5242486101,0,0.1446684073
4056561,1,0.5168404347,0,0.1378527925
4132841,1,0.5230694623,0,0.1429308459
4157611,1,0.5055314052,0,0.1778268461
4170491,1,0.5207189469,0,0.1498842217
4212771,1,0.5242486101,0,0.1446684073
4274491,1,0.5242486101,0,0.1446684073
4347461,1,0.5252243692,0,0.1353659728
4354221,1,0.5242486101,0,0.1446684073
4410691,1,0.5020010248,0,0.1721258512
4412541,1,0.5252243692,0,0.1353659728
4441311,1,0.5227816702,0,0.1261084103
4466581,1,0.5055314052,0,0.1778268461
4518251,1,0.5242486101,0,0.1446684073
4528691,1,0.5116198477,0,0.1691165698
4642201,1,0.5242486101,0,0.1446684073
4746451,1,0.5242486101,0,0.1446684073
4805191,1,0.5242486101,0,0.1446684073
4806111,1,0.5242486101,0,0.1446684073
4823231,1,0.5242486101,0,0.1446684073
4832471,1,0.5216771254,0,0.155211438
4909391,1,0.5235171686,0,0.1455806621
4913781,1,0.5116198477,0,0.1691165698
4923811,1,0.5116198477,0,0.1691165698
5031151,1,0.5148774809,0,0.1599021102
5078731,1,0.5242486101,0,0.1446684073
5141381,1,0.526522584,0,0.1135800849
5145991,1,0.5242486101,0,0.1446684073
5154481,1,0.5324137599,0,0.504
5175321,1,0.5252243692,0,0.1353659728
5220451,1,0.5235171686,0,0.1455806621
5344572,1,0.5242486101,0,0.1446684073
5371032,1,0.5216771254,0,0.155211438
5379542,1,0.5242486101,0,0.1446684073
5386742,1,0.526522584,0,0.1135800849
5404182,1,0.4991303222,0,0.1768460831
5407682,1,0.5312920859,0,0.5033557047
5432932,1,0.5252243692,0,0.1353659728
5443522,1,0.485050837,0,0.1778907895
5475532,1,0.5383481248,0,0.1287719624
5489632,1,0.5238004533,0,0.1386114836
5492112,1,0.5221488617,0,0.1485118792
5513002,1,0.4982553157,0,0.1694890368
5514192,1,0.5113582462,0,0.1690133971
5539032,1,0.5057008967,0,0.1505652174
5543362,1,0.5252243692,0,0.1353659728
5548212,1,0.5113582462,0,0.1690133971
5569042,1,0.5252243692,0,0.1353659728
5584162,1,0.5242486101,0,0.1446684073
5599302,1,0.5132702341,0,0.1459426428
5609752,1,0.5242486101,0,0.1446684073
5618162,1,0.5148774809,0,0.1599021102
5657582,1,0.5227816702,0,0.1261084103
5658732,1,0.5221488617,0,0.1485118792
5660312,2,0.8957534365,561591.2802,0.1552044818
5662022,1,0.5281627218,0,0.5015673981
5683952,1,0.5065079473,0,0.1698631481
5685012,1,0.5212002309,0,0.1458565863
5693062,1,0.5065079473,0,0.1698631481
