Node,Degree Centrality,Page Rank,Betweeness Centrality,Closeness Centrality
5774442,13,6.266864739,6.266864739,1
5778702,1,0.5007791928,0.5007791928,0.1506000899
5807432,1,0.5249552105,0.5249552105,0.1426183675
5823382,1,0.4908191373,0.4908191373,0.1780844443
5832472,1,0.5267850273,0.5267850273,0.1363979849
5846562,1,0.4962013989,0.4962013989,0.1837557754
5869372,1,0.4968701464,0.4968701464,0.1554385268
5871592,1,0.5267850273,0.5267850273,0.1363979849
5878082,1,0.523109861,0.523109861,0.1434437086
5902162,1,0.5267850273,0.5267850273,0.1363979849
5907272,1,0.4826710037,0.4826710037,0.1729012133
5952852,1,0.5275406231,0.5275406231,0.1339020772
5985462,1,0.5290231226,0.5290231226,0.5020576132
5987012,1,0.5267057058,0.5267057058,0.1166155885
6001952,1,0.5258584431,0.5258584431,0.1492083342
6021962,1,0.523109861,0.523109861,0.1434437086
6032212,1,0.5274377513,0.5274377513,0.5011547344
6092972,2,0.8469805917,0.8469805917,0.1844781048
6149912,2,0.884238557,0.884238557,0.14625709
6162692,1,0.5274377513,0.5274377513,0.5011547344
6184582,1,0.4962013989,0.4962013989,0.1837557754
6221802,1,0.5249552105,0.5249552105,0.1426183675
6229822,1,0.5252894819,0.5252894819,0.1271012007
6249052,1,0.513568361,0.513568361,0.1461295747
6259102,1,0.5266969304,0.5266969304,0.1238280357
6262152,1,0.523109861,0.523109861,0.1434437086
6283112,1,0.5287236201,0.5287236201,0.5018867925
6323932,2,0.8907577699,0.8907577699,0.1701471974
6338132,1,0.523109861,0.523109861,0.1434437086
6351742,1,0.4908191373,0.4908191373,0.1780844443
6351972,1,0.4978382703,0.4978382703,0.1514294319
6362872,1,0.5268314521,0.5268314521,0.1311528859
6375632,1,0.5266969304,0.5266969304,0.1238280357
6382062,1,0.4962013989,0.4962013989,0.1837557754
6385722,1,0.523109861,0.523109861,0.1434437086
6397462,1,0.5266969304,0.5266969304,0.1238280357
6400032,1,0.5296534116,0.5296534116,0.1186639246
6409352,1,0.5267504246,0.5267504246,0.1276127114
6418922,1,0.4962013989,0.4962013989,0.1837557754
6419762,1,0.5513829292,0.5513829292,0.5151515152
6431392,1,0.5007791928,0.5007791928,0.1506000899
6443392,1,0.5157832797,0.5157832797,0.1650140647
6460072,1,0.5171773727,0.5171773727,0.1571176681
6468862,1,0.5200812379,0.5200812379,0.1583119687
6519522,1,0.5207298209,0.5207298209,0.1438982011
6604072,1,0.5275406231,0.5275406231,0.1339020772
6609112,1,0.513568361,0.513568361,0.1461295747
6629022,1,0.5157832797,0.5157832797,0.1650140647
6668562,1,0.5274377513,0.5274377513,0.5011547344
6670372,1,0.5240757596,0.5240757596,0.1370565788
6801102,1,0.5266969304,0.5266969304,0.1238280357
6811832,1,0.5189788109,0.5189788109,0.1528764089
6819202,158,67.58994393,67.58994393,0.1711358001
6836932,1,0.4962191574,0.4962191574,0.1858908342
6975832,1,0.5258584431,0.5258584431,0.1492083342
7005252,1,0.5249552105,0.5249552105,0.1426183675
7007622,1,0.5235804116,0.5235804116,0.1572826597
7019512,2,0.8454448923,0.8454448923,0.1832058089
7040932,3,1.238142216,1.238142216,0.1852743782
7048682,1,0.5073915127,0.5073915127,0.172089669
7061542,1,0.5266969304,0.5266969304,0.1238280357
7067552,1,0.5215179336,0.5215179336,0.1631250869
7074132,1,0.485515808,0.485515808,0.1617086281
7120082,1,0.5228593107,0.5228593107,0.1551917989
7131262,1,0.523109861,0.523109861,0.1434437086
7145552,1,0.4908191373,0.4908191373,0.1780844443
7149342,1,0.5266969304,0.5266969304,0.1238280357
7167892,1,0.5157832797,0.5157832797,0.1650140647
7214092,1,0.4817374452,0.4817374452,0.1670582372
7296272,1,0.5258584431,0.5258584431,0.1492083342
7324432,1,0.5218693478,0.5218693478,0.1227291747
7355712,1,0.5215179336,0.5215179336,0.1631250869
7362602,1,0.5046257541,0.5046257541,0.160733857
7379252,1,0.4962013989,0.4962013989,0.1837557754
7386982,1,0.5073915127,0.5073915127,0.172089669
7392352,1,0.5207298209,0.5207298209,0.1438982011
7419242,1,0.5172913539,0.5172913539,0.339673913
7443002,1,0.5249552105,0.5249552105,0.1426183675
7476892,1,0.5266969304,0.5266969304,0.1238280357
7495882,1,0.5622074815,0.5622074815,0.5217391304
7502352,1,0.5266969304,0.5266969304,0.1238280357
7573442,1,0.5046257541,0.5046257541,0.160733857
7592652,1,0.5249552105,0.5249552105,0.1426183675
7593662,1,0.513568361,0.513568361,0.1461295747
7614712,1,0.51861028,0.51861028,0.1555724988
7619982,1,0.5166641925,0.5166641925,0.1476621987
7620452,1,0.513568361,0.513568361,0.1461295747
7655582,1,0.5261330995,0.5261330995,0.1319246627
7659102,1,0.5228593107,0.5228593107,0.1551917989
7668952,1,0.5062228205,0.5062228205,0.1763445978
7718682,1,0.511537912,0.511537912,0.1698885028
7744882,1,0.4953061203,0.4953061203,0.1513447853
7766032,1,0.5166641925,0.5166641925,0.1476621987
7770752,1,0.5218693478,0.5218693478,0.1227291747
